dataset	species_pop	acc_morpho	year_side	from_tip	from_base	count	x6	y6	x5	y5	x4	y4	x3	y3	x15	y15	x14	y14	x13	y13	x12	y12	x11	y11
passiflora	actinia		left	15	2	16	16.68131846	406.9716911	15.11597773	375.5177259	1.762845327	320.9822197	-41.15480592	327.6666698	476.3079437	191.3603055	505.7261776	147.3398202	617.351481	-345.4559051	600.2667594	-425.4012537	31.40091627	-1439.724173
passiflora	actinia		left	16	1	16	-3.530318804	381.6689939	-8.198210515	340.5811671	-24.97869341	234.8021099	-84.65437233	285.818745	498.8264315	154.5743237	585.9273888	72.06410127	680.9149138	-327.469876	660.6536578	-411.3848722	153.0603792	-1404.434692
passiflora	actinia		left	1	25	25	25.88913914	344.628001	40.12681657	319.1136507	11.57116839	294.1770968	-49.10616052	289.9236314	417.4331054	263.2428889	458.9982265	211.7999074	609.5221139	-224.0811998	613.1554903	-304.4059458	-73.96662367	-1573.031517
passiflora	actinia		left	2	24	25	64.71582433	369.1748831	79.94208527	350.0786154	66.66215919	309.3687609	7.667197986	303.6067977	433.1233545	234.5312497	470.3778458	190.6062088	592.8586221	-220.4484371	600.1046927	-288.3004595	-53.33294981	-1525.529297
passiflora	actinia		left	3	23	25	14.35997244	351.8086398	17.9856384	336.318435	7.239666022	309.4847733	-29.30378313	321.9823204	431.4000995	264.0628432	493.7264717	192.6919872	638.0160522	-331.8986867	636.1929155	-382.0921203	14.90452994	-1458.95548
passiflora	actinia		left	4	22	25	13.08749917	352.8963079	19.69551647	335.0296311	16.50918639	310.3240431	-13.36394342	317.4176849	480.6275493	248.574719	520.8715805	208.8159093	645.2620474	-334.4036181	638.1355632	-389.6596581	29.29465587	-1424.905475
passiflora	actinia		left	5	21	25	13.06408406	354.3805384	22.99743573	338.5697782	5.2275393	320.0550559	-23.5696213	325.0321034	492.1957053	315.6954957	526.567545	282.10451	631.3250757	-449.1017928	615.3078517	-509.5242435	47.64866028	-1322.425192
passiflora	actinia		left	6	20	25	60.22098194	386.0413771	67.80936531	369.8262669	53.25873083	349.9827874	20.7528745	353.2844426	536.6697279	305.5351545	571.9250135	262.5395923	592.4094863	-423.1270942	562.2838952	-492.1273001	7.791168643	-1288.273554
passiflora	actinia		left	7	19	25	49.73280689	371.3859944	58.97733357	356.8301694	37.25171567	334.2715582	-4.412944402	335.4813347	494.9459809	271.3365243	534.2312842	231.76258	615.7483652	-333.7427634	605.7185496	-389.3062982	-82.93316835	-1389.704668
passiflora	actinia		left	8	18	25	36.17984013	353.976263	45.61814506	335.3568997	30.05680135	312.2024126	-6.898804318	317.4642135	503.6747083	212.4945657	525.6753993	167.1719528	636.8210889	-236.4938739	619.5208324	-339.2956792	-8.491837297	-1464.981612
