dataset	species_pop	acc_morpho	year_side	from_tip	from_base	count	x1	y1	x2	y2	x3	y3	x4	y4	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11
passiflora	actinia		right	24	2	25	-70.48942108	413.6372913	-73.66548399	395.5198367	-63.57423059	350.6564196	-10.07663595	263.528632	-484.1110282	281.9872051	-541.0658004	249.3548563	-653.0560664	-400.4107254	-646.9295821	-455.5911529	103.6201876	-1262.790623
passiflora	actinia		right	25	1	25	-136.7045528	469.7436873	-162.9107308	440.5521931	-105.2167194	421.4932573	-3.979283105	305.3019306	-476.6507693	301.5612257	-537.0426774	239.5615785	-507.722646	-541.0210521	-482.8481704	-601.5645044	74.99534404	-929.7045774
passiflora	alata		right	1	15	15	-127.4198639	462.8706356	-135.5663983	417.3314028	-92.20612378	428.6228306	-15.37975932	311.7364118	-381.5561482	181.4366962	-391.8700836	99.60291214	-391.3983248	-208.828889	-387.1726202	-265.6479923	134.2791087	-1638.734677
passiflora	alata		right	2	14	15	-10.02282099	426.1621401	-16.0503906	396.0014284	-15.4745273	336.7073135	53.57797893	347.6126333	-557.5879882	83.39923663	-581.9081548	30.56021752	-574.6978496	-293.1126701	-566.9233127	-349.7034	-20.8774043	-1514.971978
passiflora	alata		right	3	13	15	-94.42139907	444.8598888	-90.87931248	435.2451549	-76.16410096	384.8875379	-23.97751789	308.7870323	-575.2554165	153.9976477	-599.0331014	103.1825112	-504.8764419	-311.0159589	-482.5570115	-360.7856087	43.53378222	-1261.298291
passiflora	alata		right	4	12	15	-1.267250316	516.0031782	2.283105734	503.3973844	-1.394082619	343.0473306	37.30150323	411.9230127	-595.7902892	-110.2542489	-559.3777942	-180.6169098	-517.7547203	-261.6640145	-493.6431652	-357.5079585	-51.16606174	-1235.319196
passiflora	alata		right	11	5	15	-10.85214654	466.8797972	-9.209886839	449.0171222	5.032150826	285.0044344	29.37216441	305.0592693	-456.3912902	214.4298064	-498.5663586	165.6658125	-559.6795899	-422.2960944	-553.0442621	-558.7080023	-74.67536597	-1444.129251
passiflora	alata		right	12	4	15	-30.4975989	549.691106	-33.00632449	535.3996478	-17.55753892	278.9034847	22.02893663	239.3249253	-559.2999536	54.90624606	-555.6486067	-26.45843112	-577.2129366	-335.8167087	-555.8736163	-416.3876148	-42.1473781	-1279.513215
passiflora	alata		right	13	3	15	4.032129418	432.3846398	5.768483471	412.1404152	4.484260264	249.0933729	34.91401078	296.6733811	-389.7515247	153.0025561	-456.754148	83.72320545	-619.4700414	-307.192568	-624.1617772	-428.0714484	-67.64190904	-1490.039772
passiflora	alata		right	14	2	15	-11.42075889	519.372821	-10.15863879	497.9513202	-8.295892499	282.5768704	28.01570942	283.5600344	-530.1254654	143.2485041	-542.3668393	54.8619829	-560.5108119	-429.312095	-514.6892397	-582.6019001	-90.43173656	-1264.393511
passiflora	alata		right	15	1	15	-87.32821259	561.2647411	-82.71844407	539.6240064	-68.19628945	441.3255337	-2.325837184	248.9089455	-485.4448799	135.2496548	-524.2122805	13.72552516	-517.9870819	-365.1155016	-455.4381644	-490.3351301	57.52798152	-1168.650747
passiflora	alata		right	5	11	15	-31.24893953	505.3126749	-24.01801934	490.8863209	-32.04807362	305.7319041	8.511097792	372.899848	-578.7997125	-19.90093821	-590.6781925	-87.47616857	-565.0837767	-302.4598593	-537.9412112	-383.621408	88.06637142	-1161.293047
passiflora	alata		right	6	10	15	-46.05178474	461.8834108	-41.69167385	450.8340456	-33.6622854	408.4058663	-6.881084426	313.5095275	-608.384093	162.0798641	-625.5304207	103.5951868	-566.502997	-324.3801353	-550.4794675	-406.9585671	169.3189444	-1207.647878
passiflora	alata		right	7	9	15	-100.8090567	401.2500288	-99.05423447	392.2338162	-76.1705414	330.5787355	-33.92133348	251.5298397	-441.9869059	264.3036439	-475.903914	226.7210279	-581.6107844	-260.9916924	-563.1275368	-365.4259637	146.3360651	-1454.850163
passiflora	alata		right	8	8	15	-31.30810135	429.1869894	-28.63166055	418.3102271	-33.7114962	372.2508171	-18.42528366	283.8204124	-552.0509801	197.1680802	-560.8216597	164.663267	-575.9561479	-282.4766733	-570.3996606	-369.9519533	174.3104884	-1426.546417
passiflora	alata		right	9	7	15	-35.18696821	355.9247916	-33.37655245	344.8917245	-16.95629981	249.7956533	14.64411319	256.5033143	-486.0933264	225.4806512	-529.1093982	134.0348426	-630.1825045	-175.798174	-655.5434378	-278.4125566	137.4846647	-1552.342442
passiflora	alata		right	10	6	15	-26.12010149	397.3978845	-25.40614596	383.8344309	-24.24100245	320.901495	3.299605664	260.0727595	-448.9157483	242.7115609	-517.8972642	166.0644171	-646.3899162	-330.3364595	-642.7820245	-480.4737747	14.05645655	-1453.807263
passiflora	alata		right	1	14	14	-136.0391085	426.1852587	-142.7643197	406.4490116	-118.6730614	386.7005641	-20.83927042	313.6422077	-373.2279275	218.263153	-394.6124395	195.1958749	-420.3429378	-179.0714582	-419.5681219	-219.5224664	221.3608287	-1648.655682
passiflora	alata		right	2	13	14	-40.58424049	611.8655737	-35.51576116	576.7168874	-33.1004379	383.2534814	47.60922552	204.3131759	-435.7821171	112.8656669	-456.9316521	65.7122546	-477.0879015	-327.5831153	-475.1717525	-415.8432124	59.0009351	-1547.994465
passiflora	alata		right	3	12	14	69.24722286	407.2526891	74.14710515	395.5386531	46.67396169	211.6850329	115.6542245	397.5518273	-476.1701292	-12.92759373	-498.9534197	-62.47898118	-544.8247363	-356.7262936	-541.1570121	-461.9112941	-235.0630556	-1510.149859
passiflora	alata		right	4	11	14	48.56448482	479.3161039	50.40383258	466.4788978	29.27679656	290.1757698	80.64240431	450.9544421	-578.0075297	-39.6545771	-579.325669	-114.987383	-508.8750134	-441.0632885	-486.52512	-514.2407981	-211.8262774	-1213.467071
